patcnty1,dsch_yr,race_grp1,Discharges,mdc_desc,gender
Alpine,2018,White,37,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",Male
Amador,2012,Aisan,36,BURNS,Female
Amador,2012,Black,42,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,Male
Amador,2012,Hispanic,381,MULTIPLE SIGNFICANT TRAUMA,Female
Amador,2012,American,17,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,Male
Amador,2012,Other,36,UNGROUPABLE,Female
Amador,2012,Unknown,52,"NERVOUS SYSTEM, DISEASES & DISORDERS",Male
Amador,2012,White,3825,"EYE, DISEASES & DISORDERS",Female
Amador,2013,Aisan,31,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",Male
Amador,2013,Black,49,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",Female
Amador,2013,Hispanic,359,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",Male
Amador,2013,American,20,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",Female
Amador,2013,Other,48,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",Male
Amador,2013,Unknown,28,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",Female
Amador,2013,White,3621,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",Male
Amador,2014,Aisan,34,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",Unknown
Amador,2014,Black,69,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",Female
Amador,2014,Hispanic,321,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",Male
Amador,2014,American,23,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",Female
Amador,2014,Other,19,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",Male
Amador,2014,Unknown,48,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,Female
Amador,2014,White,3703,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",Male
Amador,2015,Aisan,40,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,Female
Amador,2015,Black,70,INFECTIOUS & PARASITIC DISEASES,Male
Amador,2015,Hispanic,385,MENTAL DISEASES & DISORDERS,Female
Amador,2015,American,27,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,Male
Amador,2015,Other,37,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",Unknown
Amador,2015,Unknown,139,BURNS,Female
Amador,2015,White,3836,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,Male
Amador,2016,Aisan,51,MULTIPLE SIGNFICANT TRAUMA,Unknown
Amador,2016,Black,69,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,Female
Amador,2016,Hispanic,322,UNGROUPABLE,Male
Amador,2016,American,26,"NERVOUS SYSTEM, DISEASES & DISORDERS",Unknown
Amador,2016,Other,64,"EYE, DISEASES & DISORDERS",Female
Amador,2016,Unknown,105,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",Male
Amador,2016,White,3916,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",Unknown
Amador,2017,Aisan,46,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",Female
Amador,2017,Black,74,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",Male
Amador,2017,Hispanic,383,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",Unknown
Amador,2017,American,43,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",Female
Amador,2017,Other,61,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",Male
Amador,2017,Unknown,110,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",Unknown
Amador,2017,White,3852,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",Female
Amador,2018,Aisan,70,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",Male
Amador,2018,Black,90,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",Unknown
Amador,2018,Hispanic,319,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",Female
Amador,2018,American,34,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,Male
Amador,2018,Other,62,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",Female
Amador,2018,Unknown,120,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,Male
Amador,2018,White,3865,INFECTIOUS & PARASITIC DISEASES,Female
Butte,2012,Aisan,704,MENTAL DISEASES & DISORDERS,Male
Butte,2012,Black,634,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,Female
Butte,2012,Hispanic,2521,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",Male
Butte,2012,American,306,BURNS,Female
Butte,2012,Other,589,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,Male
Butte,2012,Unknown,240,MULTIPLE SIGNFICANT TRAUMA,Female
Butte,2012,White,27383,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,Male
Butte,2013,Aisan,774,UNGROUPABLE,Female
Butte,2013,Black,710,"NERVOUS SYSTEM, DISEASES & DISORDERS",Male
Butte,2013,Hispanic,2396,"EYE, DISEASES & DISORDERS",Female
Butte,2013,American,366,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",Male
Butte,2013,Other,615,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",Unknown
Butte,2013,Unknown,256,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",Female
Butte,2013,White,27305,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",Male
Butte,2014,Aisan,791,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",Unknown
Butte,2014,Black,653,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",Female
Butte,2014,Hispanic,2381,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",Male
Butte,2014,American,380,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",Unknown
Butte,2014,Other,676,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",Female
Butte,2014,Unknown,293,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",Male
Butte,2014,White,27331,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",Unknown
Butte,2015,Aisan,751,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",Female
Butte,2015,Black,669,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,Male
Butte,2015,Hispanic,2303,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",Unknown
Butte,2015,American,391,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,Female
Butte,2015,Other,774,INFECTIOUS & PARASITIC DISEASES,Male
Butte,2015,Unknown,376,MENTAL DISEASES & DISORDERS,Female
Butte,2015,White,28031,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,Male
Butte,2016,Aisan,858,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",Female
Butte,2016,Black,717,BURNS,Male
Butte,2016,Hispanic,2397,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,Unknown
Butte,2016,American,446,MULTIPLE SIGNFICANT TRAUMA,Female
Butte,2016,Other,897,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,Male
Butte,2016,Unknown,312,UNGROUPABLE,Unknown
Butte,2016,White,28655,"NERVOUS SYSTEM, DISEASES & DISORDERS",Female
Butte,2017,Aisan,974,"EYE, DISEASES & DISORDERS",Male
Butte,2017,Black,702,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",Unknown
Butte,2017,Hispanic,2433,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",Female
Butte,2017,American,507,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",Male
Butte,2017,Other,898,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",Unknown
Butte,2017,Unknown,208,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",Female
Butte,2017,White,29121,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",Male
Butte,2018,Aisan,936,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",Unknown
Butte,2018,Black,791,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",Female
Butte,2018,Hispanic,2766,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",Male
Butte,2018,American,520,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",Unknown
Butte,2018,Other,979,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",Female
Butte,2018,Unknown,349,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",Male
Butte,2018,White,29128,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,Unknown
Calaveras,2012,Aisan,18,"BLOOD, BLOOD FORMING ORGANS,IMMUNOLOGICAL, DISEASES & DISORDERS",Female
Calaveras,2012,Black,49,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,Male
Calaveras,2012,Hispanic,397,INFECTIOUS & PARASITIC DISEASES,Female
Calaveras,2012,American,22,MENTAL DISEASES & DISORDERS,Male
Calaveras,2012,Other,66,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,Female
Calaveras,2012,Unknown,39,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",Male
Calaveras,2012,White,4395,BURNS,Female
Calaveras,2013,Aisan,31,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,Male
Calaveras,2013,Black,42,MULTIPLE SIGNFICANT TRAUMA,Unknown
Calaveras,2013,Hispanic,338,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,Female
Calaveras,2013,American,29,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",Male
Calaveras,2013,Other,60,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",Female
Calaveras,2013,Unknown,45,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",Male
Calaveras,2013,White,4228,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",Female
Calaveras,2014,Aisan,31,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",Male
Calaveras,2014,Black,26,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",Female
Calaveras,2014,Hispanic,289,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,Male
Calaveras,2014,American,20,MENTAL DISEASES & DISORDERS,Unknown
Calaveras,2014,Other,55,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",Female
Calaveras,2014,Unknown,71,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,Male
Calaveras,2014,White,4105,MULTIPLE SIGNFICANT TRAUMA,Unknown
Calaveras,2015,Aisan,41,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",Female
Calaveras,2015,Black,23,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",Male
Calaveras,2015,Hispanic,214,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",Unknown
Calaveras,2015,American,22,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",Female
Calaveras,2015,Other,55,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",Male
Calaveras,2015,Unknown,89,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",Unknown
Calaveras,2015,White,4350,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,Female
Calaveras,2016,Aisan,40,INFECTIOUS & PARASITIC DISEASES,Male
Calaveras,2016,Black,22,MENTAL DISEASES & DISORDERS,Unknown
Calaveras,2016,Hispanic,258,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,Female
Calaveras,2016,American,31,"NERVOUS SYSTEM, DISEASES & DISORDERS",Male
Calaveras,2016,Other,67,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",Unknown
Calaveras,2016,Unknown,82,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",Female
Calaveras,2016,White,4174,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",Male
Calaveras,2017,Aisan,47,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",Unknown
Calaveras,2017,Black,34,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",Female
Calaveras,2017,Hispanic,269,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",Male
Calaveras,2017,American,17,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,Female
Calaveras,2017,Other,61,INFECTIOUS & PARASITIC DISEASES,Male
Calaveras,2017,Unknown,131,MENTAL DISEASES & DISORDERS,Unknown
Calaveras,2017,White,4352,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,Female
Calaveras,2018,Aisan,39,"NERVOUS SYSTEM, DISEASES & DISORDERS",Male
Calaveras,2018,Black,38,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",Female
Calaveras,2018,Hispanic,286,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",Male
Calaveras,2018,American,27,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",Female
Calaveras,2018,Other,70,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",Male
Calaveras,2018,Unknown,85,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",Female
Calaveras,2018,White,4253,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",Male
Colusa,2012,Aisan,19,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",Female
Colusa,2012,Black,25,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",Male
Colusa,2012,Hispanic,1076,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,Female
Colusa,2012,American,818,MENTAL DISEASES & DISORDERS,Male
Colusa,2012,Other,45,"NERVOUS SYSTEM, DISEASES & DISORDERS",Female
Colusa,2012,Unknown,818,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",Male
Colusa,2012,White,1175,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",Female
Colusa,2013,Aisan,18,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",Male
Colusa,2013,Black,15,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",Female
Colusa,2013,Hispanic,1000,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",Male
Colusa,2013,American,14,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",Female
Colusa,2013,Other,37,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",Male
Colusa,2013,Unknown,4,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",Female
Colusa,2013,White,1121,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,Male
Colusa,2014,Aisan,41,MENTAL DISEASES & DISORDERS,Female
Colusa,2014,Black,25,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,Male
Colusa,2014,Hispanic,881,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",Female
Colusa,2014,American,28,BURNS,Male
Colusa,2014,Other,29,"NERVOUS SYSTEM, DISEASES & DISORDERS",Unknown
Colusa,2014,Unknown,13,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",Female
Colusa,2014,White,1178,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",Male
Colusa,2015,Aisan,19,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",Unknown
Colusa,2015,Black,13,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",Female
Colusa,2015,Hispanic,874,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",Male
Colusa,2015,American,27,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",Unknown
Colusa,2015,Other,33,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,Female
Colusa,2015,Unknown,12,MENTAL DISEASES & DISORDERS,Male
Colusa,2015,White,1182,"NERVOUS SYSTEM, DISEASES & DISORDERS",Unknown
Colusa,2016,Aisan,25,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",Female
Colusa,2016,Black,22,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",Male
Colusa,2016,Hispanic,807,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",Unknown
Colusa,2016,American,23,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",Female
Colusa,2016,Other,50,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",Male
Colusa,2016,Unknown,26,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",Unknown
Colusa,2016,White,1099,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",Female
Colusa,2017,Aisan,25,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",Male
Colusa,2017,Black,818,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",Unknown
Colusa,2017,Hispanic,908,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,Female
Colusa,2017,American,14,MENTAL DISEASES & DISORDERS,Male
Colusa,2017,Other,42,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,Female
Colusa,2017,Unknown,818,"NERVOUS SYSTEM, DISEASES & DISORDERS",Male
Colusa,2017,White,1010,"EYE, DISEASES & DISORDERS",Female
Colusa,2018,Aisan,26,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",Male
Colusa,2018,Black,34,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",Female
Colusa,2018,Hispanic,977,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",Male
Colusa,2018,American,29,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",Female
Colusa,2018,Other,36,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",Male
Colusa,2018,Unknown,24,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",Female
Colusa,2018,White,1241,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",Male
Contra Costa,2012,Aisan,9711,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",Female
Contra Costa,2012,Black,13690,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",Male
Contra Costa,2012,Hispanic,16801,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",Unknown
Contra Costa,2012,American,605,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",Female
Contra Costa,2012,Other,4727,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",Male
Contra Costa,2012,Unknown,947,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,Unknown
Contra Costa,2012,White,56052,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",Female
Contra Costa,2013,Aisan,9997,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,Male
Contra Costa,2013,Black,12814,INFECTIOUS & PARASITIC DISEASES,Female
Contra Costa,2013,Hispanic,16931,MENTAL DISEASES & DISORDERS,Male
